Total accesses: 7086622
Frames	Miss Rate
1	0.861549
2	0.634367
3	0.586717
4	0.562404
5	0.543791
6	0.531908
7	0.519366
8	0.498745
9	0.464441
10	0.430759
11	0.400432
12	0.380697
13	0.366702
14	0.353416
15	0.338880
16	0.324324
17	0.311182
18	0.299179
19	0.287800
20	0.276380
21	0.265148
22	0.254483
23	0.244774
24	0.236244
25	0.229005
26	0.222926
27	0.217805
28	0.213465
29	0.209760
30	0.206585
31	0.203734
32	0.201238
33	0.198981
34	0.196913
35	0.194966
36	0.193155
37	0.191433
38	0.189755
39	0.188195
40	0.186680
41	0.185235
42	0.183826
43	0.182412
44	0.181050
45	0.179710
46	0.178392
47	0.177113
48	0.175875
49	0.174652
50	0.173459
51	0.172300
52	0.171134
53	0.170017
54	0.168898
55	0.167826
56	0.166763
57	0.165702
58	0.164658
59	0.163649
60	0.162623
61	0.161613
62	0.160631
63	0.159690
64	0.158727
65	0.157783
66	0.156861
67	0.155942
68	0.155048
69	0.154152
70	0.153269
71	0.152407
72	0.151545
73	0.150696
74	0.149869
75	0.149044
76	0.148233
77	0.147443
78	0.146657
79	0.145866
80	0.145104
81	0.144371
82	0.143621
83	0.142919
84	0.142190
85	0.141518
86	0.140836
87	0.140160
88	0.139496
89	0.138833
90	0.138178
91	0.137541
92	0.136904
93	0.136272
94	0.135659
95	0.135063
96	0.134475
97	0.133871
98	0.133291
99	0.132709
100	0.132149
101	0.131580
102	0.131010
103	0.130436
104	0.129879
105	0.129321
106	0.128766
107	0.128216
108	0.127682
109	0.127161
110	0.126632
111	0.126112
112	0.125583
113	0.125063
114	0.124560
115	0.124064
116	0.123566
117	0.123077
118	0.122604
119	0.122122
120	0.121644
121	0.121176
122	0.120708
123	0.120241
124	0.119778
125	0.119322
126	0.118876
127	0.118435
128	0.117999
129	0.117564
130	0.117130
131	0.116699
132	0.116271
133	0.115845
134	0.115440
135	0.115030
136	0.114625
137	0.114217
138	0.113814
139	0.113407
140	0.113004
141	0.112613
142	0.112211
143	0.111826
144	0.111441
145	0.111054
146	0.110681
147	0.110311
148	0.109946
149	0.109591
150	0.109235
151	0.108877
152	0.108518
153	0.108158
154	0.107790
155	0.107434
156	0.107095
157	0.106744
158	0.106406
159	0.106068
160	0.105733
161	0.105389
162	0.105059
163	0.104724
164	0.104399
165	0.104077
166	0.103751
167	0.103434
168	0.103118
169	0.102803
170	0.102494
171	0.102191
172	0.101881
173	0.101577
174	0.101259
175	0.100954
176	0.100648
177	0.100359
178	0.100065
179	0.099777
180	0.099493
181	0.099207
182	0.098923
183	0.098634
184	0.098353
185	0.098072
186	0.097788
187	0.097509
188	0.097222
189	0.096946
190	0.096672
191	0.096401
192	0.096124
193	0.095855
194	0.095593
195	0.095323
196	0.095054
197	0.094773
198	0.094505
199	0.094245
200	0.093992
201	0.093719
