Total accesses: 7086622
Frames	Miss Rate
1	0.873319
2	0.660942
3	0.620131
4	0.598460
5	0.583207
6	0.572081
7	0.560483
8	0.541516
9	0.511299
10	0.478976
11	0.450307
12	0.427884
13	0.412686
14	0.399689
15	0.386338
16	0.372864
17	0.360132
18	0.348510
19	0.337454
20	0.326712
21	0.316008
22	0.305590
23	0.295785
24	0.286878
25	0.279059
26	0.272411
27	0.266788
28	0.262015
29	0.258032
30	0.254618
31	0.251647
32	0.249076
33	0.246836
34	0.244783
35	0.242949
36	0.241243
37	0.239651
38	0.238161
39	0.236746
40	0.235391
41	0.234064
42	0.232794
43	0.231574
44	0.230422
45	0.229283
46	0.228185
47	0.227075
48	0.226024
49	0.224971
50	0.223956
51	0.222962
52	0.221981
53	0.221018
54	0.220089
55	0.219159
56	0.218262
57	0.217386
58	0.216534
59	0.215688
60	0.214861
61	0.214027
62	0.213225
63	0.212436
64	0.211638
65	0.210858
66	0.210102
67	0.209355
68	0.208623
69	0.207902
70	0.207192
71	0.206481
72	0.205793
73	0.205094
74	0.204409
75	0.203748
76	0.203068
77	0.202413
78	0.201778
79	0.201154
80	0.200528
81	0.199912
82	0.199329
83	0.198741
84	0.198168
85	0.197604
86	0.197047
87	0.196503
88	0.195956
89	0.195444
90	0.194937
91	0.194433
92	0.193943
93	0.193436
94	0.192965
95	0.192490
96	0.192015
97	0.191550
98	0.191100
99	0.190671
100	0.190234
101	0.189796
102	0.189373
103	0.188952
104	0.188525
105	0.188098
106	0.187691
107	0.187267
108	0.186870
109	0.186466
110	0.186072
111	0.185676
112	0.185304
113	0.184915
114	0.184531
115	0.184139
116	0.183756
117	0.183379
118	0.182999
119	0.182627
120	0.182263
121	0.181892
122	0.181531
123	0.181183
124	0.180833
125	0.180487
126	0.180144
127	0.179797
128	0.179456
129	0.179112
130	0.178777
131	0.178436
132	0.178107
133	0.177763
134	0.177424
135	0.177104
136	0.176780
137	0.176464
138	0.176143
139	0.175811
140	0.175501
141	0.175184
142	0.174875
143	0.174562
144	0.174250
145	0.173939
146	0.173626
147	0.173327
148	0.173021
149	0.172738
150	0.172445
151	0.172147
152	0.171851
153	0.171559
154	0.171266
155	0.170972
156	0.170681
157	0.170398
158	0.170120
159	0.169834
160	0.169554
161	0.169282
162	0.169016
163	0.168738
164	0.168457
165	0.168187
166	0.167917
167	0.167656
168	0.167400
169	0.167143
170	0.166884
171	0.166622
172	0.166362
173	0.166109
174	0.165862
175	0.165602
176	0.165336
177	0.165087
178	0.164836
179	0.164595
180	0.164343
181	0.164094
182	0.163848
183	0.163600
184	0.163351
185	0.163106
186	0.162859
187	0.162616
188	0.162390
189	0.162144
190	0.161911
191	0.161679
192	0.161453
193	0.161216
194	0.160982
195	0.160756
196	0.160514
197	0.160291
198	0.160064
199	0.159843
200	0.159625
201	0.159419
202	0.159200
203	0.158982
204	0.158770
205	0.158554
206	0.158349
207	0.158124
208	0.157914
209	0.157701
210	0.157489
211	0.157270
212	0.157059
213	0.156843
214	0.156643
215	0.156421
216	0.156221
217	0.156016
218	0.155807
219	0.155602
220	0.155404
221	0.155208
222	0.155008
223	0.154813
224	0.154609
225	0.154412
226	0.154222
227	0.154020
228	0.153825
229	0.153632
230	0.153438
231	0.153242
232	0.153042
233	0.152852
234	0.152672
235	0.152492
236	0.152311
237	0.152130
238	0.151947
239	0.151757
240	0.151563
241	0.151372
242	0.151188
243	0.151007
244	0.150827
245	0.150647
246	0.150467
247	0.150287
248	0.150112
249	0.149925
250	0.149749
251	0.149559
252	0.149384
253	0.149211
254	0.149030
255	0.148853
256	0.148674
257	0.148505
258	0.148333
259	0.148159
260	0.147982
261	0.147804
262	0.147635
263	0.147466
264	0.147292
265	0.147133
266	0.146963
267	0.146805
268	0.146629
269	0.146466
270	0.146299
271	0.146140
272	0.145970
273	0.145811
274	0.145649
275	0.145483
276	0.145323
277	0.145155
278	0.145000
279	0.144837
280	0.144678
281	0.144511
282	0.144340
283	0.144177
284	0.144014
285	0.143856
286	0.143688
287	0.143524
288	0.143361
289	0.143199
290	0.143040
291	0.142882
292	0.142716
293	0.142559
294	0.142402
295	0.142245
296	0.142088
297	0.141933
298	0.141776
299	0.141616
300	0.141451
301	0.141294
302	0.141139
303	0.140985
304	0.140821
305	0.140662
306	0.140512
307	0.140361
308	0.140201
309	0.140042
310	0.139886
311	0.139738
312	0.139596
313	0.139449
314	0.139293
315	0.139142
316	0.138989
317	0.138838
318	0.138690
319	0.138554
320	0.138403
321	0.138248
322	0.138098
323	0.137950
324	0.137802
325	0.137649
326	0.137504
327	0.137360
328	0.137214
329	0.137070
330	0.136939
331	0.136791
332	0.136647
333	0.136503
334	0.136367
335	0.136224
336	0.136084
337	0.135951
338	0.135815
339	0.135681
340	0.135542
341	0.135409
342	0.135276
343	0.135143
344	0.135005
345	0.134875
346	0.134748
347	0.134605
348	0.134476
349	0.134340
350	0.134202
351	0.134064
352	0.133930
353	0.133795
354	0.133662
355	0.133528
356	0.133399
357	0.133264
358	0.133129
359	0.132997
360	0.132870
361	0.132738
362	0.132607
363	0.132485
364	0.132358
365	0.132229
366	0.132099
367	0.131964
368	0.131835
369	0.131713
370	0.131588
371	0.131466
372	0.131343
373	0.131220
374	0.131096
375	0.130969
376	0.130841
377	0.130726
378	0.130593
379	0.130465
380	0.130337
381	0.130220
382	0.130100
383	0.129973
384	0.129855
385	0.129738
386	0.129614
387	0.129493
388	0.129370
389	0.129248
390	0.129133
391	0.129010
392	0.128891
393	0.128762
394	0.128644
395	0.128518
396	0.128390
397	0.128266
398	0.128154
399	0.128028
400	0.127902
401	0.127772
402	0.127649
403	0.127520
404	0.127401
405	0.127274
406	0.127153
407	0.127038
408	0.126918
409	0.126802
410	0.126681
411	0.126557
412	0.126438
413	0.126325
414	0.126206
415	0.126083
416	0.125963
417	0.125841
418	0.125721
419	0.125601
420	0.125479
421	0.125357
422	0.125239
423	0.125119
424	0.125008
425	0.124895
426	0.124787
427	0.124675
428	0.124559
429	0.124447
430	0.124330
431	0.124212
432	0.124101
433	0.123988
434	0.123874
435	0.123759
436	0.123641
437	0.123531
438	0.123416
439	0.123301
440	0.123187
441	0.123072
442	0.122965
443	0.122861
444	0.122761
445	0.122660
446	0.122550
447	0.122435
448	0.122327
449	0.122215
450	0.122108
451	0.121993
452	0.121891
453	0.121776
454	0.121667
455	0.121547
456	0.121435
457	0.121333
458	0.121225
459	0.121123
460	0.121008
461	0.120902
462	0.120798
463	0.120690
464	0.120583
465	0.120475
466	0.120376
467	0.120272
468	0.120160
469	0.120049
470	0.119944
471	0.119837
472	0.119730
473	0.119626
474	0.119525
475	0.119423
476	0.119324
477	0.119219
478	0.119123
479	0.119022
480	0.118918
481	0.118818
482	0.118715
483	0.118609
484	0.118511
485	0.118395
486	0.118294
487	0.118189
488	0.118087
489	0.117979
490	0.117872
491	0.117762
492	0.117664
493	0.117561
494	0.117462
495	0.117358
496	0.117247
497	0.117139
498	0.117034
499	0.116921
500	0.116816
501	0.116718
502	0.116610
503	0.116507
504	0.116402
505	0.116295
506	0.116198
507	0.116098
508	0.115996
509	0.115889
510	0.115782
511	0.115683
512	0.115586
513	0.115483
514	0.115386
515	0.115285
516	0.115184
517	0.115088
518	0.114993
519	0.114890
520	0.114790
521	0.114689
522	0.114589
523	0.114487
524	0.114381
525	0.114283
526	0.114180
527	0.114076
528	0.113981
529	0.113878
530	0.113773
531	0.113679
532	0.113584
533	0.113478
534	0.113378
535	0.113282
536	0.113178
537	0.113076
538	0.112975
539	0.112876
540	0.112776
541	0.112674
542	0.112574
543	0.112475
544	0.112381
545	0.112288
546	0.112195
547	0.112099
548	0.112007
549	0.111912
550	0.111811
551	0.111712
552	0.111616
553	0.111522
554	0.111429
555	0.111333
556	0.111236
557	0.111138
558	0.111044
559	0.110947
560	0.110856
561	0.110765
562	0.110676
563	0.110575
564	0.110484
565	0.110390
566	0.110301
567	0.110210
568	0.110115
569	0.110018
570	0.109928
571	0.109843
572	0.109755
573	0.109658
574	0.109574
575	0.109488
576	0.109398
577	0.109304
578	0.109215
579	0.109119
580	0.109026
581	0.108936
582	0.108843
583	0.108752
584	0.108668
585	0.108580
586	0.108495
587	0.108408
588	0.108315
589	0.108222
590	0.108130
591	0.108030
592	0.107942
593	0.107852
594	0.107759
595	0.107679
596	0.107589
597	0.107502
598	0.107412
599	0.107321
600	0.107234
601	0.107152
602	0.107068
603	0.106984
604	0.106898
605	0.106814
606	0.106728
607	0.106646
608	0.106562
609	0.106473
610	0.106395
611	0.106307
612	0.106219
613	0.106123
614	0.106042
615	0.105959
616	0.105874
617	0.105788
618	0.105702
619	0.105614
620	0.105527
621	0.105442
622	0.105355
623	0.105274
624	0.105190
625	0.105113
626	0.105026
627	0.104940
628	0.104851
629	0.104765
630	0.104687
631	0.104599
632	0.104519
633	0.104435
634	0.104361
635	0.104281
636	0.104200
637	0.104115
638	0.104032
639	0.103945
640	0.103857
641	0.103770
642	0.103686
643	0.103599
644	0.103515
645	0.103430
646	0.103343
647	0.103264
648	0.103180
649	0.103097
650	0.103021
651	0.102943
652	0.102865
653	0.102783
654	0.102701
655	0.102618
656	0.102540
657	0.102467
658	0.102391
659	0.102315
660	0.102238
661	0.102161
662	0.102086
663	0.102011
664	0.101928
665	0.101846
666	0.101765
667	0.101691
668	0.101614
669	0.101536
670	0.101462
671	0.101386
672	0.101309
673	0.101230
674	0.101146
675	0.101062
676	0.100979
677	0.100897
678	0.100817
679	0.100731
680	0.100649
681	0.100574
682	0.100492
683	0.100415
684	0.100338
685	0.100270
686	0.100192
687	0.100119
688	0.100040
689	0.099960
690	0.099886
691	0.099814
692	0.099735
693	0.099664
694	0.099592
695	0.099514
696	0.099440
697	0.099352
698	0.099279
699	0.099203
700	0.099127
701	0.099049
702	0.098978
703	0.098903
704	0.098826
705	0.098752
706	0.098681
707	0.098604
708	0.098525
709	0.098452
710	0.098376
711	0.098303
712	0.098233
713	0.098154
714	0.098088
715	0.098019
716	0.097953
717	0.097874
718	0.097795
719	0.097720
720	0.097646
721	0.097575
722	0.097495
723	0.097420
724	0.097344
725	0.097270
726	0.097198
727	0.097121
728	0.097043
729	0.096971
730	0.096902
731	0.096836
732	0.096763
733	0.096692
734	0.096618
735	0.096551
736	0.096477
737	0.096406
738	0.096337
739	0.096267
740	0.096194
741	0.096125
742	0.096055
743	0.095984
744	0.095917
745	0.095845
746	0.095770
747	0.095697
748	0.095628
749	0.095559
750	0.095488
751	0.095419
752	0.095347
753	0.095275
754	0.095210
755	0.095142
756	0.095073
757	0.095003
758	0.094935
759	0.094869
760	0.094800
761	0.094733
762	0.094664
763	0.094594
764	0.094523
765	0.094455
766	0.094387
767	0.094317
768	0.094251
769	0.094182
770	0.094116
